Start (ms)	Stop (ms)	seq.pulse_length	Doppler PMT	PMT1_2(sum)	PMT1_2(0)	PMT1_2(1)	PMT1_2(2)	PMT1_2(3)	PMT1_2(4)	PMT1_2(5)	PMT1_2(6)	PMT1_2(7)	PMT1_2(8)	PMT1_2(9)	PMT1_2(10)	PMT1_2(11)	PMT1_2(12)	PMT1_2(13)	PMT1_2(14)	PMT1_2(15)	PMT1_2(16)	PMT1_2(17)	PMT1_2(18)	PMT1_2(19)	PMT1_2(20)	PMT1_2(21)	PMT1_2(22)	PMT1_2(23)	PMT1_2(24)	PMT1_2(25)	PMT1_2(26)	PMT1_2(27)	PMT1_2(28)	PMT1_2(29)	PMT1_2(30)	PMT1_2(31)	PMT1_2(32)	PMT1_2(33)	PMT1_2(34)	PMT1_2(35)	PMT1_2(36)	PMT1_2(37)	PMT1_2(38)	PMT1_2(39)	PMT1_2(40)	PMT1_2(41)	PMT1_2(42)	PMT1_2(43)	PMT1_2(44)	PMT1_2(45)	PMT1_2(46)	PMT1_2(47)	PMT1_2(48)	PMT1_2(49)	PMT1_2(50)	PMT1_2(51)	PMT1_2(52)	PMT1_2(53)	PMT1_2(54)	PMT1_2(55)	PMT1_2(56)	PMT1_2(57)	PMT1_2(58)	PMT1_2(59)	PMT1_2(60)	PMT1_2(61)	PMT1_2(62)	PMT1_2(63)	PMT1_2(64)	PMT1_2(65)	PMT1_2(66)	PMT1_2(67)	PMT1_2(68)	PMT1_2(69)	PMT1_2(70)	PMT1_2(71)	PMT1_2(72)	PMT1_2(73)	PMT1_2(74)	PMT1_2(75)	PMT1_2(76)	PMT1_2(77)	PMT1_2(78)	PMT1_2(79)	PMT1_2(80)	PMT1_2(81)	PMT1_2(82)	PMT1_2(83)	PMT1_2(84)	PMT1_2(85)	PMT1_2(86)	PMT1_2(87)	PMT1_2(88)	PMT1_2(89)	PMT1_2(90)	PMT1_2(91)	PMT1_2(92)	PMT1_2(93)	PMT1_2(94)	PMT1_2(95)	PMT1_2(96)	PMT1_2(97)	PMT1_2(98)	PMT1_2(99)
1,5378E+12	1,5378E+12	6.686.700	1	1598	8	11	12	48	9	12	51	40	35	13	15	45	13	6	10	8	31	11	12	40	5	12	6	10	6	5	36	40	12	38	49	7	8	12	42	7	13	40	37	8	13	10	15	5	7	44	13	7	6	3	12	9	10	32	7	12	44	3	10	8	8	12	3	5	9	16	6	42	3	5	40	8	5	28	9	7	6	6	9	36	9	10	8	39	5	9	13	11	15	6	42	11	7	9	6	8	9	6	11	8
1,5378E+12	1,5378E+12	7.289.110	1	1143	13	1	6	9	7	2	8	11	6	8	9	9	12	7	7	7	10	15	12	28	11	4	7	6	3	42	36	9	7	9	11	7	6	5	8	6	44	7	11	7	11	5	29	9	4	4	16	5	5	7	4	6	6	6	9	17	47	7	10	14	7	9	6	12	8	5	9	10	46	5	10	10	9	9	13	15	51	8	9	10	5	10	9	11	8	8	10	7	10	17	7	10	14	8	40	10	11	14	6	13
1,5378E+12	1,5378E+12	7.891.520	1	1081	10	12	10	3	7	5	36	8	44	6	13	5	8	9	2	7	31	7	10	4	39	10	12	5	6	14	6	5	10	9	15	10	14	5	9	6	40	8	13	4	10	11	5	5	11	8	3	6	3	7	5	7	7	11	3	36	6	9	3	4	8	6	3	15	4	6	11	12	8	10	5	35	7	6	11	8	8	6	13	15	9	6	6	36	37	5	9	5	3	7	11	11	8	12	9	13	40	8	5	7
1,5378E+12	1,5378E+12	8.493.930	1	858	8	11	11	11	10	8	7	8	13	6	9	4	4	7	7	10	7	10	8	4	10	8	4	10	11	8	5	13	9	8	10	11	16	5	6	9	6	3	7	6	14	5	7	11	8	11	8	9	5	5	8	10	9	6	1	6	4	8	10	10	6	11	12	10	9	7	18	9	6	12	9	4	9	10	35	8	7	6	10	10	4	13	9	10	8	9	4	8	10	7	11	10	16	9	6	8	7	8	4	6
1,5378E+12	1,5378E+12	9.096.340	1	955	8	8	9	9	8	28	9	10	11	12	11	9	10	6	7	13	8	9	12	9	13	1	3	6	7	3	11	6	2	8	4	5	7	8	11	7	8	15	10	9	10	14	15	12	6	5	8	10	9	9	10	37	8	4	7	6	7	11	12	6	7	13	9	9	14	7	7	11	8	10	9	9	13	9	37	7	7	7	6	9	7	8	5	7	13	8	11	24	10	11	3	12	6	8	10	9	13	9	9	8
1,5378E+12	1,5378E+12	9.698.750	1	933	8	33	10	6	9	14	10	10	12	7	8	11	11	9	14	9	10	10	5	11	9	11	9	9	14	8	4	7	7	6	11	10	9	8	13	7	8	8	10	4	8	7	6	8	8	7	7	14	12	8	8	12	13	9	9	5	3	7	8	10	14	5	8	6	6	12	6	7	12	5	1	12	16	10	9	9	8	6	7	10	6	7	13	10	8	5	13	9	7	8	7	10	9	2	11	49	10	9	9	4
1,5378E+12	1,5378E+12	10.301.160	1	1150	9	8	8	7	8	11	38	8	9	8	15	5	9	6	11	44	7	13	4	12	7	7	7	6	9	11	9	11	7	5	5	10	3	11	9	10	15	10	11	6	7	8	8	5	11	7	10	5	8	4	9	10	11	39	10	8	4	58	13	15	6	7	7	11	9	12	40	46	14	8	13	39	8	41	10	14	8	10	10	10	8	8	4	9	6	7	9	6	8	7	19	11	9	8	4	6	9	8	11	11
1,5378E+12	1,5378E+12	10.903.570	1	1641	7	12	44	9	8	8	8	7	6	12	9	7	40	14	7	39	7	5	10	16	14	10	39	32	4	9	4	11	12	8	39	10	35	37	8	11	10	37	7	11	6	6	30	70	13	6	41	41	10	9	7	44	49	5	46	5	8	39	40	54	8	6	8	10	43	7	10	12	6	6	6	9	10	35	8	8	8	5	16	5	4	3	5	8	8	12	61	9	5	10	9	38	12	8	9	12	13	13	14	10
1,5378E+12	1,5378E+12	11.505.980	1	1728	7	3	7	6	12	6	6	24	8	8	10	12	8	5	4	36	38	10	44	34	15	56	33	6	16	11	4	18	39	14	46	9	7	6	3	40	8	28	8	13	10	9	11	8	6	50	12	10	9	20	31	29	5	7	6	25	5	7	48	8	30	45	10	7	8	9	44	38	8	6	6	10	37	32	8	5	3	8	57	7	9	9	47	41	46	8	48	9	5	7	6	14	8	6	6	6	28	49	2	12
1,5378E+12	1,5378E+12	12.108.390	1	1983	9	33	7	7	7	10	5	7	13	41	13	45	6	7	54	9	8	8	10	37	9	42	39	38	5	12	27	10	44	6	9	36	9	5	41	33	50	52	43	4	5	4	7	12	49	13	6	39	55	6	42	6	33	7	5	7	45	11	7	48	2	38	29	13	35	14	10	13	32	36	6	45	10	11	5	8	34	4	12	7	9	26	2	46	53	5	40	5	9	7	10	8	9	9	8	46	7	48	9	6
1,5378E+12	1,5378E+12	12.710.800	1	2286	9	47	5	35	10	5	8	37	31	8	8	9	4	32	12	35	40	42	10	43	14	45	45	8	5	39	8	38	11	6	14	10	32	9	7	44	7	10	9	37	12	36	8	9	43	8	5	4	13	1	32	38	31	29	33	6	47	33	26	36	7	7	54	9	32	35	39	5	3	30	34	33	11	32	8	38	33	42	7	12	45	50	7	12	13	41	6	10	9	41	7	31	36	38	41	41	11	39	6	53
1,5378E+12	1,5378E+12	13.313.210	1	2656	39	48	5	6	10	9	32	45	41	11	48	58	6	39	41	7	11	36	37	36	9	33	5	4	14	50	44	5	7	40	34	37	40	6	33	40	9	44	7	38	8	40	5	9	4	41	41	14	46	33	36	4	45	42	31	12	6	7	38	47	2	49	38	7	34	9	47	47	34	41	41	37	4	41	7	44	10	44	9	12	44	25	11	29	54	6	39	7	32	38	27	47	8	47	37	9	40	6	12	8
1,5378E+12	1,5378E+12	13.915.620	1	3061	42	40	37	29	36	40	34	8	6	38	35	26	32	35	12	10	34	44	7	42	9	37	32	47	39	55	36	50	42	53	35	40	42	40	34	46	2	39	39	41	9	3	42	9	40	10	34	32	29	7	29	41	38	38	36	42	44	42	46	43	35	43	37	37	40	37	48	38	23	38	6	28	42	4	50	32	35	5	34	51	40	9	13	9	37	40	7	32	12	4	10	41	37	33	10	34	46	6	12	7
1,5378E+12	1,5378E+12	14.518.030	1	3253	38	39	10	42	42	46	9	37	35	8	45	43	51	37	58	8	48	8	8	38	29	46	15	7	45	39	4	39	54	27	41	33	6	38	10	35	12	37	5	10	8	37	37	31	41	37	31	39	41	35	12	47	50	12	45	47	30	48	52	40	9	30	36	36	38	40	33	30	40	42	5	45	11	35	7	46	38	40	39	31	8	43	35	41	38	41	34	39	41	38	36	47	36	34	41	12	38	34	42	42
1,5378E+12	1,5378E+12	15.120.440	1	4026	7	41	39	39	38	42	40	36	39	30	40	41	44	12	33	43	29	41	8	50	43	43	47	44	42	45	36	33	53	44	10	8	46	34	11	39	33	42	38	44	47	34	35	34	29	35	39	30	37	42	29	42	10	39	35	30	521	8	37	7	55	39	55	36	37	37	42	37	30	14	48	42	38	7	34	45	7	42	8	45	35	28	42	36	43	33	34	40	36	46	41	50	41	41	31	40	40	44	45	35
