x,w01,w02
-0.3013,2.2167,2.9730,
-0.2993,2.2331,2.9918,
-0.2973,2.2493,3.0103,
-0.2953,2.2653,3.0287,
-0.2933,2.2813,3.0468,
-0.2913,2.2970,3.0647,
-0.2893,2.3127,3.0824,
-0.2873,2.3282,3.0999,
-0.2853,2.3435,3.1172,
-0.2833,2.3588,3.1343,
-0.2813,2.3739,3.1512,
-0.2793,2.3888,3.1679,
-0.2773,2.4037,3.1845,
-0.2753,2.4184,3.2008,
-0.2733,2.4329,3.2170,
-0.2713,2.4474,3.2329,
-0.2693,2.4617,3.2487,
-0.2673,2.4758,3.2643,
-0.2653,2.4899,3.2798,
-0.2633,2.5038,3.2950,
-0.2613,2.5176,3.3101,
-0.2593,2.5313,3.3251,
-0.2573,2.5448,3.3398,
-0.2553,2.5582,3.3545,
-0.2533,2.5715,3.3689,
-0.2513,2.5847,3.3832,
-0.2492,2.5977,3.3973,
-0.2472,2.6107,3.4113,
-0.2452,2.6235,3.4251,
-0.2432,2.6361,3.4388,
-0.2412,2.6487,3.4523,
-0.2392,2.6611,3.4657,
-0.2372,2.6735,3.4789,
-0.2352,2.6857,3.4920,
-0.2332,2.6978,3.5050,
-0.2312,2.7097,3.5177,
-0.2292,2.7216,3.5304,
-0.2272,2.7333,3.5429,
-0.2252,2.7449,3.5553,
-0.2232,2.7564,3.5675,
-0.2212,2.7678,3.5796,
-0.2192,2.7791,3.5916,
-0.2172,2.7902,3.6034,
-0.2152,2.8012,3.6152,
-0.2132,2.8122,3.6267,
-0.2112,2.8230,3.6382,
-0.2092,2.8337,3.6495,
-0.2072,2.8443,3.6607,
-0.2052,2.8547,3.6717,
-0.2032,2.8651,3.6826,
-0.2012,2.8753,3.6934,
-0.1992,2.8855,3.7041,
-0.1972,2.8955,3.7147,
-0.1952,2.9054,3.7251,
-0.1932,2.9152,3.7354,
-0.1912,2.9249,3.7456,
-0.1892,2.9345,3.7556,
-0.1872,2.9440,3.7656,
-0.1852,2.9534,3.7754,
-0.1832,2.9626,3.7851,
-0.1812,2.9718,3.7947,
-0.1792,2.9808,3.8041,
-0.1772,2.9898,3.8135,
-0.1752,2.9986,3.8227,
-0.1732,3.0073,3.8318,
-0.1712,3.0159,3.8408,
-0.1692,3.0245,3.8497,
-0.1672,3.0329,3.8584,
-0.1652,3.0412,3.8671,
-0.1632,3.0494,3.8756,
-0.1612,3.0574,3.8840,
-0.1592,3.0654,3.8923,
-0.1572,3.0733,3.9005,
-0.1552,3.0811,3.9086,
-0.1532,3.0887,3.9166,
-0.1512,3.0963,3.9244,
-0.1491,3.1038,3.9322,
-0.1471,3.1111,3.9398,
-0.1451,3.1184,3.9473,
-0.1431,3.1255,3.9548,
-0.1411,3.1326,3.9621,
-0.1391,3.1395,3.9693,
-0.1371,3.1464,3.9763,
-0.1351,3.1531,3.9833,
-0.1331,3.1597,3.9902,
-0.1311,3.1663,3.9970,
-0.1291,3.1727,4.0036,
-0.1271,3.1790,4.0102,
-0.1251,3.1852,4.0166,
-0.1231,3.1914,4.0229,
-0.1211,3.1974,4.0291,
-0.1191,3.2033,4.0353,
-0.1171,3.2091,4.0413,
-0.1151,3.2148,4.0472,
-0.1131,3.2205,4.0530,
-0.1111,3.2260,4.0587,
-0.1091,3.2314,4.0643,
-0.1071,3.2367,4.0698,
-0.1051,3.2419,4.0751,
-0.1031,3.2470,4.0804,
-0.1011,3.2520,4.0856,
-0.0991,3.2570,4.0906,
-0.0971,3.2618,4.0956,
-0.0951,3.2665,4.1005,
-0.0931,3.2711,4.1052,
-0.0911,3.2756,4.1099,
-0.0891,3.2800,4.1144,
-0.0871,3.2843,4.1189,
-0.0851,3.2885,4.1232,
-0.0831,3.2927,4.1274,
-0.0811,3.2967,4.1316,
-0.0791,3.3006,4.1356,
-0.0771,3.3044,4.1395,
-0.0751,3.3081,4.1434,
-0.0731,3.3118,4.1471,
-0.0711,3.3153,4.1507,
-0.0691,3.3187,4.1542,
-0.0671,3.3220,4.1577,
-0.0651,3.3253,4.1610,
-0.0631,3.3284,4.1642,
-0.0611,3.3314,4.1673,
-0.0591,3.3343,4.1703,
-0.0571,3.3372,4.1732,
-0.0551,3.3399,4.1761,
-0.0531,3.3425,4.1788,
-0.0511,3.3451,4.1814,
-0.0490,3.3475,4.1839,
-0.0470,3.3499,4.1863,
-0.0450,3.3521,4.1886,
-0.0430,3.3543,4.1908,
-0.0410,3.3563,4.1929,
-0.0390,3.3583,4.1949,
-0.0370,3.3601,4.1968,
-0.0350,3.3619,4.1986,
-0.0330,3.3635,4.2003,
-0.0310,3.3651,4.2019,
-0.0290,3.3665,4.2034,
-0.0270,3.3679,4.2048,
-0.0250,3.3692,4.2061,
-0.0230,3.3703,4.2073,
-0.0210,3.3714,4.2084,
-0.0190,3.3724,4.2094,
-0.0170,3.3733,4.2103,
-0.0150,3.3741,4.2111,
-0.0130,3.3747,4.2118,
-0.0110,3.3753,4.2124,
-0.0090,3.3758,4.2129,
-0.0070,3.3762,4.2133,
-0.0050,3.3765,4.2136,
-0.0030,3.3767,4.2138,
-0.0010,3.3768,4.2139,
0.0010,3.3768,4.2139,
0.0030,3.3767,4.2138,
0.0050,3.3765,4.2136,
0.0070,3.3762,4.2133,
0.0090,3.3758,4.2129,
0.0110,3.3753,4.2124,
0.0130,3.3747,4.2118,
0.0150,3.3741,4.2111,
0.0170,3.3733,4.2103,
0.0190,3.3724,4.2094,
0.0210,3.3714,4.2084,
0.0230,3.3703,4.2073,
0.0250,3.3692,4.2061,
0.0270,3.3679,4.2048,
0.0290,3.3665,4.2034,
0.0310,3.3651,4.2019,
0.0330,3.3635,4.2003,
0.0350,3.3619,4.1986,
0.0370,3.3601,4.1968,
0.0390,3.3583,4.1949,
0.0410,3.3563,4.1929,
0.0430,3.3543,4.1908,
0.0450,3.3521,4.1886,
0.0470,3.3499,4.1863,
0.0490,3.3475,4.1839,
0.0511,3.3451,4.1814,
0.0531,3.3425,4.1788,
0.0551,3.3399,4.1761,
0.0571,3.3372,4.1732,
0.0591,3.3343,4.1703,
